alert_id,opportunity_id,change_type,severity,actionable,supplier_profile,match_score,match_band,title,buyer,country_or_scope,source,previous_value,current_value,status,reason,notice_url,source_health,observed_at
alert_3dca5d0e53031dcd_construction,canadabuys:ws5816484903-doc5816547138,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,Hardwood Gymnasium Floor Replacement,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:30161702,UNSPSC:72154000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110020874?anId=ANONYMOUS,HEALTHY,
alert_3dca5d0e53031dcd_infrastructure,canadabuys:ws5816484903-doc5816547138,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,Hardwood Gymnasium Floor Replacement,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,"UNSPSC:30161702,UNSPSC:72154000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110020874?anId=ANONYMOUS,HEALTHY,
alert_3df7efaa3b2d9c7f_manufacturer,canadabuys:cb-291-44852968,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Seal Assembly,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:31140000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_3e1a0a3ab265d17e_manufacturer,canadabuys:cb-775-7827141,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,"Multiple Victoria-Class Spares : PILGRIM NUT INFLATABLE TIRE, DISK,VALVE, PARTS KIT,SEAL REPLACEMENT,MECHANICAL EQUIPMENT, PACKING,PREFORMED and STUD,SHOULDERED",Department of National Defence (DND),Canada,canadabuys,,"UNSPSC:31161600,UNSPSC:31400000",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_3e304a0499dfb190_manufacturer,canadabuys:cb-270-67190406,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,RHIB Trailers for Zodiac MK5,Department of National Defence (DND),Canada,canadabuys,,UNSPSC:25180000,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_3fbfc05aca560fc3_manufacturer,canadabuys:ws4967671213-doc5206548855,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Commercial Pattern Armoured Vehicles (CPAV) Phase II,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:25101510,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_4012c7de5d99d933_construction,canadabuys:cb-141-33205713,CLASSIFICATION_CHANGED,MEDIUM,yes,construction,75,GOOD,"Development of  Service Area in Kegaska Harbour,  Lower North Shore, Quebec",Department of Fisheries and Oceans (DFO),Canada,canadabuys,,UNSPSC:72141200,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_4012c7de5d99d933_infrastructure,canadabuys:cb-141-33205713,CLASSIFICATION_CHANGED,MEDIUM,yes,infrastructure,75,GOOD,"Development of  Service Area in Kegaska Harbour,  Lower North Shore, Quebec",Department of Fisheries and Oceans (DFO),Canada,canadabuys,,UNSPSC:72141200,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_40a4b9de133c39b1_manufacturer,canadabuys:cb-883-71350230,CLASSIFICATION_CHANGED,MEDIUM,yes,manufacturer,75,GOOD,Cam-Lok Connectors,Department of National Defence (DND),Canada,canadabuys,,"UNSPSC:32130000,UNSPSC:39121400",OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://canadabuys.canada.ca/en/tender-opportunities,HEALTHY,
alert_40ce8a3b258a3fa8_professional-services,canadabuys:ws5789413257-doc5820701341,CLASSIFICATION_CHANGED,MEDIUM,yes,professional-services,75,GOOD,Military Pay Managed Services,Department of Public Works and Government Services (PSPC),Canada,canadabuys,,UNSPSC:80161604,OPEN,CHANGE_CLASSIFICATION_CHANGED; MATCH_CLASSIFICATION_PRIMARY,https://portal.us.bn.cloud.ariba.com/dashboard/public/appext/comsapsbncdiscoveryui#/RfxEvent/preview/1110021103?anId=ANONYMOUS,HEALTHY,
